Process State Running: 1
PID 122: 122 (Unknown)
PID 123: 123 (Unknown)
PID 124: 124 (Unknown)
PID 125: 125 (Unknown)
PID 126: 126 (Unknown)
PID 127: 127 (Unknown)
PID 128: 128 (Unknown)
PID 129: 129 (Unknown)
PID 130: 130 (Unknown)
PID 132: 132 (Sleeping)
PID 133: 133 (Unknown)
PID 134: 134 (Unknown)
PID 135: 135 (Sleeping)
PID 136: 136 (Unknown)
PID 137: 137 (Sleeping)
PID 138: 138 (Sleeping)
PID 139: 139 (Unknown)
PID 142: 142 (Unknown)
PID 143: 143 (Unknown)
PID 144: 144 (Unknown)
PID 146: 146 (Unknown)
PID 147: 147 (Unknown)
PID 148: 148 (Unknown)
PID 150: 150 (Unknown)
PID 151: 151 (Unknown)
PID 153: 153 (Sleeping)
PID 154: 154 (Unknown)
PID 155: 155 (Unknown)
PID 156: 156 (Unknown)
PID 158: 158 (Unknown)
PID 164: 164 (Unknown)
PID 165: 165 (Unknown)
PID 168: 168 (Unknown)
PID 169: 169 (Unknown)
PID 174: 174 (Unknown)
PID 193: 193 (Unknown)
PID 197: 197 (Unknown)
PID 198: 198 (Unknown)
PID 212: 212 (Unknown)
PID 213: 213 (Unknown)
PID 214: 214 (Unknown)
PID 215: 215 (Unknown)
PID 216: 216 (Unknown)
PID 217: 217 (Unknown)
PID 218: 218 (Unknown)
PID 219: 219 (Unknown)
PID 220: 220 (Unknown)
PID 221: 221 (Unknown)
PID 222: 222 (Unknown)
PID 231: 231 (Sleeping)
PID 257: 257 (Unknown)
PID 258: 258 (Unknown)
PID 259: 259 (Unknown)
PID 260: 260 (Unknown)
PID 262: 262 (Sleeping)
PID 263: 263 (Unknown)
PID 264: 264 (Sleeping)
PID 265: 265 (Unknown)
PID 268: 268 (Unknown)
PID 297: 297 (Sleeping)
PID 298: 298 (Unknown)
PID 337: 337 (Sleeping)
PID 366: 366 (Sleeping)
PID 390: 390 (Unknown)
PID 430: 430 (Unknown)
PID 431: 431 (Unknown)
PID 437: 437 (Unknown)
PID 443: 443 (Unknown)
PID 552: 552 (Unknown)
PID 555: 555 (Unknown)
PID 556: 556 (Unknown)
PID 594: 594 (Sleeping)
PID 595: 595 (Sleeping)
PID 596: 596 (Sleeping)
PID 604: 604 (Unknown)
PID 652: 652 (Sleeping)
PID 653: 653 (Sleeping)
PID 662: 662 (Sleeping)
PID 664: 664 (Sleeping)
PID 665: 665 (Sleeping)
PID 667: 667 (Sleeping)
PID 674: 674 (Sleeping)
PID 676: 676 (Sleeping)
PID 678: 678 (Sleeping)
PID 681: 681 (Sleeping)
PID 682: 682 (Sleeping)
PID 693: 693 (Sleeping)
PID 695: 695 (Sleeping)
PID 702: 702 (Sleeping)
PID 706: 706 (Sleeping)
PID 710: 710 (Sleeping)
PID 785: 785 (Sleeping)
PID 788: 788 (Sleeping)
PID 789: 789 (Unknown)
PID 796: 796 (Sleeping)
PID 799: 799 (Unknown)
PID 801: 801 (Sleeping)
PID 816: 816 (Sleeping)
PID 825: 825 (Sleeping)
PID 834: 834 (Sleeping)
PID 835: 835 (Sleeping)
PID 836: 836 (Sleeping)
PID 904: 904 (Unknown)
PID 942: 942 (Unknown)
PID 945: 945 (Sleeping)
PID 946: 946 (Sleeping)
PID 947: 947 (Sleeping)
PID 948: 948 (Sleeping)
PID 1020: 1020 (Unknown)
PID 1039: 1039 (Unknown)
PID 1040: 1040 (Unknown)
PID 1041: 1041 (Sleeping)
PID 1042: 1042 (Sleeping)
PID 1043: 1043 (Sleeping)
PID 1044: 1044 (Sleeping)
PID 1045: 1045 (Sleeping)
PID 1046: 1046 (Sleeping)
PID 1047: 1047 (Sleeping)
PID 1048: 1048 (Sleeping)
PID 1049: 1049 (Sleeping)
PID 1050: 1050 (Sleeping)
PID 1051: 1051 (Sleeping)
PID 1052: 1052 (Sleeping)
PID 1053: 1053 (Sleeping)
PID 1054: 1054 (Sleeping)
PID 1055: 1055 (Sleeping)
PID 1056: 1056 (Sleeping)
PID 1057: 1057 (Sleeping)
PID 1058: 1058 (Sleeping)
PID 1059: 1059 (Sleeping)
PID 1137: 1137 (Sleeping)
PID 1146: 1146 (Sleeping)
PID 1153: 1153 (Sleeping)
PID 1185: 1185 (Sleeping)
PID 1237: 1237 (Sleeping)
PID 1267: 1267 (Sleeping)
PID 1341: 1341 (Unknown)
PID 1469: 1469 (Sleeping)
PID 1488: 1488 (Sleeping)
PID 1642: 1642 (Sleeping)
PID 1717: 1717 (Sleeping)
PID 1727: 1727 (Sleeping)
PID 1728: 1728 (Sleeping)
PID 1734: 1734 (Sleeping)
PID 1735: 1735 (Sleeping)
PID 1736: 1736 (Sleeping)
PID 1746: 1746 (Sleeping)
PID 1754: 1754 (Sleeping)
PID 1758: 1758 (Sleeping)
PID 1771: 1771 (Sleeping)
PID 1772: 1772 (Sleeping)
PID 1783: 1783 (Sleeping)
PID 1790: 1790 (Sleeping)
PID 1805: 1805 (Sleeping)
PID 1816: 1816 (Sleeping)
PID 1817: 1817 (Sleeping)
PID 1822: 1822 (Sleeping)
PID 1827: 1827 (Sleeping)
PID 1831: 1831 (Sleeping)
PID 1833: 1833 (Sleeping)
PID 1841: 1841 (Sleeping)
PID 1843: 1843 (Sleeping)
PID 1852: 1852 (Sleeping)
PID 1871: 1871 (Sleeping)
PID 1901: 1901 (Unknown)
PID 1905: 1905 (Sleeping)
PID 1917: 1917 (Sleeping)
PID 1935: 1935 (Sleeping)
PID 1943: 1943 (Sleeping)
PID 1947: 1947 (Sleeping)
PID 2040: 2040 (Sleeping)
PID 2046: 2046 (Sleeping)
PID 2048: 2048 (Sleeping)
PID 2057: 2057 (Sleeping)
PID 2068: 2068 (Sleeping)
PID 2071: 2071 (Sleeping)
PID 2085: 2085 (Sleeping)
PID 2087: 2087 (Sleeping)
PID 2111: 2111 (Sleeping)
PID 2112: 2112 (Sleeping)
PID 2114: 2114 (Sleeping)
PID 2115: 2115 (Sleeping)
PID 2116: 2116 (Sleeping)
PID 2119: 2119 (Sleeping)
PID 2122: 2122 (Sleeping)
PID 2126: 2126 (Sleeping)
PID 2129: 2129 (Sleeping)
PID 2131: 2131 (Sleeping)
PID 2136: 2136 (Sleeping)
PID 2137: 2137 (Sleeping)
PID 2138: 2138 (Sleeping)
PID 2139: 2139 (Sleeping)
PID 2143: 2143 (Sleeping)
PID 2145: 2145 (Sleeping)
PID 2175: 2175 (Sleeping)
PID 2209: 2209 (Sleeping)
PID 2212: 2212 (Sleeping)
PID 2213: 2213 (Sleeping)
PID 2216: 2216 (Sleeping)
PID 2255: 2255 (Sleeping)
PID 2298: 2298 (Sleeping)
PID 2299: 2299 (Sleeping)
PID 2387: 2387 (Sleeping)
PID 2407: 2407 (Sleeping)
PID 2414: 2414 (Sleeping)
PID 2450: 2450 (Sleeping)
PID 2470: 2470 (Sleeping)
PID 2510: 2510 (Sleeping)
PID 2520: 2520 (Sleeping)
PID 2522: 2522 (Sleeping)
PID 2607: 2607 (Sleeping)
PID 2669: 2669 (Unknown)
PID 2670: 2670 (Unknown)
PID 2671: 2671 (Unknown)
PID 2750: 2750 (Sleeping)
PID 3099: 3099 (Sleeping)
PID 3102: 3102 (Sleeping)
PID 3105: 3105 (Sleeping)
PID 3265: 3265 (Sleeping)
PID 3278: 3278 (Sleeping)
PID 3307: 3307 (Sleeping)
PID 3768: 3768 (Unknown)
PID 3808: 3808 (Unknown)
PID 3816: 3816 (Unknown)
PID 3914: 3914 (Unknown)
PID 3915: 3915 (Unknown)
PID 4036: 4036 (Unknown)
PID 4170: 4170 (Sleeping)
PID 4172: 4172 (Sleeping)
PID 4173: 4173 (Sleeping)
PID 4186: 4186 (Sleeping)
PID 4207: 4207 (Sleeping)
PID 4238: 4238 (Sleeping)
PID 4274: 4274 (Sleeping)
PID 4308: 4308 (Sleeping)
PID 4331: 4331 (Sleeping)
PID 4556: 4556 (Sleeping)
PID 4569: 4569 (Sleeping)
PID 4605: 4605 (Sleeping)
PID 4611: 4611 (Sleeping)
PID 4626: 4626 (Sleeping)
PID 4637: 4637 (Sleeping)
PID 4651: 4651 (Sleeping)
PID 4664: 4664 (Sleeping)
PID 4711: 4711 (Sleeping)
PID 4737: 4737 (Sleeping)
PID 4915: 4915 (Unknown)
PID 4921: 4921 (Sleeping)
PID 4937: 4937 (Sleeping)
PID 5422: 5422 (Sleeping)
PID 5454: 5454 (Running)
PID 5558: 5558 (Sleeping)
Running 0.281%
Sleeping 68.539%
Unknown 31.180%
